BiGG	COG_cat	GO	KEGG	best_OG	eggNOG_Desc	eggNOGs	em_evalue	em_score	kingdom	name	nog_dataset	orf	seed_ortho	tax_scope	contig	taxa	nog_phylum	plot_classification
	L		K05592,K11927	0KRX9|8.63815520019e-154|504.734313965	dead deah box helicase domain protein	0KRX9@eurNOG,COG0513@NOG,arCOG00558@arNOG	1.1999999999999995e-181	596.0	arch			SAMEA2623826_2535505_16	274854.MG2_0992	arNOG[11]	SAMEA2623826_2535505	Archaea		Archaea
	V		K06147,K06148,K11085	0KRPM|4.23783252614e-192|640.96105957	ABC transporter	0KRPM@eurNOG,COG1132@NOG,arCOG02841@arNOG	4.699999999999997e-295	971.5	arch			SAMEA2623808_1740844_2	274854.MG2_0181	arNOG[11]	SAMEA2623808_1740844	Archaea		Archaea
	O	GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0005488,GO:0005524,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005739,GO:0006605,GO:0006810,GO:0006886,GO:0006950,GO:0008104,GO:0008150,GO:0009266,GO:0009408,GO:0009409,GO:0009507,GO:0009526,GO:0009532,GO:0009536,GO:0009570,GO:0009579,GO:0009628,GO:0009941,GO:0009987,GO:0010035,GO:0010038,GO:0015031,GO:0016482,GO:0017076,GO:0030554,GO:0031967,GO:0031975,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0033036,GO:0033365,GO:0034613,GO:0035639,GO:0036094,GO:0042221,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044763,GO:0044765,GO:0045036,GO:0045184,GO:0046686,GO:0046907,GO:0048046,GO:0050896,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0070727,GO:0071702,GO:0072594,GO:0072596,GO:0072598,GO:0097159,GO:1901265,GO:1901363	K03283	KOG0102|9.55237941057e-251|837.43145752	heat shock	0D965@chloroNOG,1DUAN@virNOG,COG0443@NOG,KOG0102@euNOG	1.0999999999999994e-301	996.2	euk	HSP70B		SAMEA2623774_307932_6	436017.A4RSP0	virNOG[6]	SAMEA2623774_307932	Viridiplantae		Eukaryotes
	O			KOG1552|3.68253277726e-45|157.291122437	Family with sequence similarity 108, member	COG1073@NOG,KOG1552@euNOG	5.7e-35	116.6	euk			SAMEA2623774_1540871_5	653948.CCA22499	euNOG[57]	SAMEA2623774_1540871	Eukaryotes		Eukaryotes
	J		K07146	05C72|4.28467402428e-127|427.832946777	UPF0176 protein	01R19@aproNOG,05C72@bactNOG,16SCZ@proNOG,COG1054@NOG	9.699999999999998e-113	372.2	bact	YCEA	proNOG	SAMEA2623756_980485_16	237727.NAP1_07615	bactNOG[38]	SAMEA2623756_980485	Bacteria	Proteobacteria	diderm
	Q		K06015	05FEN|9.83162084291e-153|513.129455566	Deacylase	05FEN@bactNOG,COG3653@NOG	1.7999999999999999e-118	390.8	bact		bactNOG	SAMEA2623756_3130992_1	688269.Theth_1319	bactNOG[38]	SAMEA2623756_3130992	Bacteria	Bacteria	Unclassified_Bact
	P	GO:0005575,GO:0005623,GO:0009279,GO:0016020,GO:0019867,GO:0030312,GO:0030313,GO:0031975,GO:0044462,GO:0044464,GO:0071944		05R19|2.15723707832e-184|617.792602539	tonB-dependent Receptor	05R19@bactNOG,099UQ@bctoNOG,0XP2F@NOG	6.799999999999997e-119	391.8	bact		bctoNOG	SAMEA2623756_2724639_12	518766.Rmar_0978	bactNOG[38]	SAMEA2623756_2724639	Bacteria	Bacteroidetes	diderm
	C		K00325	05C15|9.64472348788e-158|529.508178711	The transhydrogenation between NADH and NADP is coupled to respiration and ATP hydrolysis and functions as a proton pump across the membrane (By similarity)	055MU@bacteNOG,05C15@bactNOG,09ACU@bctoNOG,COG1282@NOG	0.0	1122.5	bact	PNTB	bacteNOG;bctoNOG	SAMEA2623756_2188174_1	679937.Bcop_2306	bactNOG[38]	SAMEA2623756_2188174	Bacteria		Unclassified_Bact
	O	GO:0005575,GO:0005576,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944		KOG1552|3.43616428373e-47|164.091400146	Family with sequence similarity 108, member	COG1073@NOG,KOG1552@euNOG	1.7e-34	115.0	euk	FAM108B1		SAMEA2623734_442078_29	45157.CMD098CT	euNOG[57]	SAMEA2623734_442078	Eukaryotes		Eukaryotes
	O		K01341,K14645	08K8F|1.19657221522e-111|376.90625	Extracellular serine protease	08K8F@bactNOG,0GRY9@delNOG,0HHKX@dproNOG,16RBU@proNOG,COG1404@NOG	1.4e-89	292.5	bact		proNOG	SAMEA2623734_2276203_1	690850.Desaf_1407	bactNOG[38]	SAMEA2623734_2276203	Bacteria	Proteobacteria	diderm
	S	GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0015399,GO:0015405,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016820,GO:0016887,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0022804,GO:0022857,GO:0032991,GO:0034641,GO:0034655,GO:0042278,GO:0042454,GO:0042623,GO:0042626,GO:0043190,GO:0043234,GO:0043492,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044425,GO:0044699,GO:0044710,GO:0044763,GO:0044765,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071704,GO:0072521,GO:0072523,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658	K06158	KOG0927|9.05773525638e-219|731.456542969	ATP-binding cassette, sub-family F	09VX3@biNOG,0DH57@chorNOG,0V6VI@meNOG,12PCQ@opiNOG,COG0488@NOG,KOG0062@euNOG,KOG0927@euNOG	2.4999999999999986e-253	838.3	euk	ABCF3		SAMEA2623673_937464_4	7739.JGI126285	meNOG[21]	SAMEA2623673_937464	Animals		Eukaryotes
	L	GO:0003674,GO:0003824,GO:0003904,GO:0003913,GO:0006139,GO:0006259,GO:0006281,GO:0006464,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009987,GO:0016829,GO:0016830,GO:0018298,GO:0019538,GO:0033554,GO:0034641,GO:0036211,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044699,GO:0044763,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:1901360	K01669	05CVP|3.64465005982e-148|497.799621582	deoxyribo-dipyrimidine photolyase	00C8C@actNOG,05CVP@bactNOG,COG0415@NOG	2.4999999999999995e-127	421.0	bact	PHRB	actNOG	SAMEA2623649_471313_10	467200.SSRG_00937	bactNOG[38]	SAMEA2623649_471313	Bacteria	Actinobacteria	monoderm
	L	GO:0003674,GO:0003824,GO:0004386,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008026,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0034641,GO:0034655,GO:0042278,GO:0042454,GO:0042623,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044424,GO:0044464,GO:0044710,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0055086,GO:0070035,GO:0071704,GO:0072521,GO:0072523,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658	K11927	0FUX8|2.65611411667e-200|668.409118652	dead deah box helicase domain protein	05C1J@bactNOG,099UK@bctoNOG,0FUX8@cytNOG,COG0513@NOG	1.2999999999999995e-195	638.4	bact	RHLE	cytNOG	SAMEA2623627_921618_23	643867.Ftrac_2268	bactNOG[38]	SAMEA2623627_921618	Bacteria	Cytophagia	diderm
	S		K06876	05EXX|5.41652377272e-206|688.469177246	Deoxyribodipyrimidine photolyase-related protein	05EXX@bactNOG,0B836@bproNOG,16Q1X@proNOG,COG3046@NOG	1.399999999999999e-234	773.4	bact	BMUL_5845	proNOG	SAMEA2623627_565846_5	383631.MB2181_00810	bactNOG[38]	SAMEA2623627_565846	Bacteria	Proteobacteria	diderm
	G			08EX1|5.94189468562e-160|535.57611084	Major Facilitator superfamily	02DQJ@aproNOG,08EX1@bactNOG,0ZVSX@NOG,171A5@proNOG	1.5999999999999997e-182	596.0	bact		proNOG	SAMEA2623627_556729_2	439496.RBY4I_348	bactNOG[38]	SAMEA2623627_556729	Bacteria	Proteobacteria	diderm
	U	GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003924,GO:0005488,GO:0005525,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006152,GO:0006163,GO:0006184,GO:0006195,GO:0006605,GO:0006612,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006886,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009164,GO:0009166,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0015031,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0019439,GO:0019637,GO:0019693,GO:0030312,GO:0030529,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0032991,GO:0033036,GO:0034613,GO:0034641,GO:0034655,GO:0035639,GO:0036094,GO:0040007,GO:0042278,GO:0042454,GO:0043167,GO:0043168,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0044765,GO:0045184,GO:0046039,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0046903,GO:0046907,GO:0048500,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0055086,GO:0070727,GO:0071702,GO:0071704,GO:0071944,GO:0072521,GO:0072523,GO:0097159,GO:1901068,GO:1901069,GO:1901135,GO:1901136,GO:1901265,GO:1901292,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658	K03106	05CB9|2.35899159308e-218|730.014892578	Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Binds to the hydrophobic signal sequence of the ribosome-nascent chain (RNC) as it emerges from the ribosomes. The SRP-RNC complex is then targeted to the cytoplasmic membrane where it interacts with the SRP receptor FtsY	05CB9@bactNOG,099NM@bctoNOG,0P7TT@flaNOG,COG0541@NOG	1.8999999999999992e-245	811.0	bact	FFH	bctoNOG;flaNOG	SAMEA2623627_2862838_4	391603.FBALC1_13152	bactNOG[38]	SAMEA2623627_2862838	Bacteria		Unclassified_Bact
