#orf	Prob	Evalue	Pvalue	Score	SS	Cols	Query_HMM	Template_HMM	Identity	Similarity	Sum_probs	Template_Neff	subject_header
SAMEA2620081_2493749_7	100.0	2.9E-43	5.7E-48	305.5	0.0	228	23-250	4-232 (235)	52	1.012	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2620979_1292117_4	100.0	1.4E-42	2.6E-47	303.2	0.0	229	27-256	2-231 (235)	54	1.055	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619818_394_12	100.0	1.1E-33	2.2E-38	244.2	0.0	203	6-227	2-226 (235)	18	0.236	0.0	8.200	2M3G_C Bacteriorhodopsin; Solid state NMR, Anabaena Sensory; HET: RET; NMR {Nostoc sp. PCC 7120}
SAMEA2620339_928492_2	100.0	6E-42	1.2E-46	294.2	0.0	230	7-245	3-233 (235)	42	0.816	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2620980_1294662_12	100.0	1.8E-43	3.4E-48	306.0	0.0	229	20-249	2-230 (235)	59	1.138	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2621536_1986778_5	100.0	9.4E-44	1.8E-48	309.5	0.0	241	1-245	8-259 (273)	48	0.783	0.0	7.700	3DDL_A Xanthorhodopsin; rhodopsin, carotenoid, ion pump, light-harvesting; HET: SXN, UNL, PCW, RET, PX4; 1.9A {Salinibacter ruber}
SAMEA2623446_1545299_1	100.0	2.6E-40	4.9E-45	282.5	0.0	216	10-237	3-224 (229)	22	0.305	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2619818_1424_7	100.0	2.5E-42	4.8E-47	297.1	0.0	231	7-247	3-234 (235)	41	0.802	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619802_4419_11	100.0	4.7E-43	9E-48	305.5	0.0	229	23-251	1-229 (235)	62	1.109	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2622518_2681488_9	100.0	1.5E-42	2.8E-47	303.0	0.0	230	27-256	4-233 (235)	59	1.121	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2621021_1477045_2	98.5	1.4E-10	2.6E-15	107.2	0.0	198	128-331	45-247 (258)	16	0.174	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2622452_2958485_1	100.0	2E-42	3.9E-47	291.0	0.0	223	4-226	5-229 (235)	70	1.161	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2591098_7452_4	100.0	1.6E-41	3E-46	304.5	0.0	229	55-283	2-230 (235)	69	1.241	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2622923_52265_18	100.0	3.5E-40	6.6E-45	313.8	0.0	230	65-312	38-276 (304)	12	0.206	0.0	7.000	4YZI_A Sensory opsin A,Archaeal-type opsin 2; membrane protein, channelrhodopsin, microbial rhodopsin; HET: RET, OLA; 2.5A {Chlamydomonas reinhardtii}
SAMEA2591084_1264116_18	100.0	1.2E-43	2.3E-48	308.2	0.0	227	25-251	4-230 (235)	60	1.124	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2591084_238107_51	100.0	4.6E-42	8.8E-47	289.4	0.0	227	2-228	5-233 (235)	60	1.090	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2620786_2343129_41	99.9	3.3E-31	6.4E-36	235.6	0.0	191	1-210	30-264 (291)	20	0.327	0.0	7.200	5B0W_B Halorhodopsin; seven trans-membrane helices, retinylidene protein; HET: RET, L3P, 22B, BNG; 1.7A {Natronomonas pharaonis DSM 2160}
SAMEA2591074_375964_11	100.0	4.8E-44	9.3E-49	304.5	0.0	231	1-231	1-231 (235)	42	0.918	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2622336_1351964_3	100.0	6.6E-34	1.3E-38	251.0	0.0	203	4-213	31-269 (291)	19	0.312	0.0	7.200	5B0W_B Halorhodopsin; seven trans-membrane helices, retinylidene protein; HET: RET, L3P, 22B, BNG; 1.7A {Natronomonas pharaonis DSM 2160}
SAMEA2622219_1393579_16	99.9	2.9E-31	5.5E-36	228.8	0.0	189	13-221	9-209 (220)	14	0.201	0.0	8.300	5JSI_A Nitrate/nitrite sensor protein NarQ (E.C.2.7.13.3); membrane protein, iodide, UNKNOWN FUNCTION; HET: OLC, LYR, LFA, IOD; 2.0A {Candidatus Actinomarina minuta}
SAMEA2620979_1724555_6	100.0	1.8E-42	3.4E-47	296.4	0.0	230	7-243	3-233 (235)	41	0.825	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2623116_1967869_7	100.0	7E-43	1.3E-47	295.1	0.0	227	6-234	5-233 (235)	52	0.901	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2591108_1691867_4	100.0	2.5E-43	4.8E-48	307.9	0.0	229	27-256	4-233 (235)	60	1.114	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2622219_4424780_3	100.0	1.5E-41	2.8E-46	304.5	0.0	230	28-267	5-244 (262)	24	0.425	0.0	7.800	1M0K_A BACTERIORHODOPSIN; ION PUMP, MEMBRANE PROTEIN, RETINAL; HET: LI1, SQU, RET; 1.43A {Halobacterium salinarum} SCOP: f.13.1.1
SAMEA2623850_2812431_8	100.0	3.8E-43	7.4E-48	306.7	0.0	230	27-256	4-233 (235)	57	1.124	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619782_5007_2	100.0	1.5E-43	3E-48	299.9	0.0	231	1-231	1-231 (235)	60	1.094	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619531_189586_5	100.0	5.5E-42	1.1E-46	298.2	0.0	226	27-253	4-229 (235)	67	1.203	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2621075_480974_3	100.0	5.6E-40	1.1E-44	281.2	0.0	216	15-239	4-224 (229)	22	0.337	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2620570_2920566_31	98.3	1.2E-09	2.4E-14	100.9	0.0	179	126-314	45-236 (258)	16	0.169	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2620230_2419789_23	100.0	6.1E-46	1.2E-50	339.1	0.0	257	6-270	16-280 (288)	25	0.438	0.0	7.600	4XTN_A KR2; ion pump, membrane protein; HET: LFA, MPG, LYR, NA; 2.2A {Dokdonia eikasta}
SAMEA2623513_2758011_3	100.0	5.5E-42	1.1E-46	292.3	0.0	224	1-233	3-227 (247)	29	0.486	0.0	7.900	2KSY_A Sensory rhodopsin II; membrane proteins, NMR spectroscopy, receptors; HET: RET; NMR {Natronomonas pharaonis}
SAMEA2619548_214064_2	100.0	1.8E-40	3.6E-45	284.1	0.0	222	13-241	4-228 (235)	41	0.818	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2620979_181175_36	99.9	8.9E-31	1.7E-35	228.0	0.0	205	1-222	1-222 (235)	19	0.295	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2622173_654706_7	100.0	5.4E-42	1E-46	293.3	0.0	226	6-240	3-229 (235)	42	0.850	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2621551_2619725_4	100.0	1.2E-42	2.3E-47	299.2	0.0	225	12-241	5-232 (243)	45	0.813	0.0	7.800	2L6X_A Green-light absorbing proteorhodopsin; proteorhodopsin, membrane protein structure, cell-free; HET: RET; NMR {uncultured marine gamma proteobacterium EBAC31A08}
SAMEA2620404_2515756_2	99.9	7.5E-31	1.4E-35	225.6	0.0	188	6-217	7-221 (227)	20	0.297	0.0	8.200	1S51_A bacteriorhodopsin; membrane protein  bacteriorhodopsin, PROTON; HET: RET; 2.0A {Halobacterium salinarum} SCOP: f.13.1.1
SAMEA2619399_1276298_4	100.0	2.5E-43	4.8E-48	299.6	0.0	226	6-232	4-229 (235)	61	1.156	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2620230_27562_7	100.0	4.1E-40	7.9E-45	286.5	0.0	216	15-243	9-241 (244)	19	0.303	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2621278_1852588_2	100.0	1.9E-40	3.6E-45	295.4	0.0	228	39-270	3-232 (243)	56	1.049	0.0	7.800	2L6X_A Green-light absorbing proteorhodopsin; proteorhodopsin, membrane protein structure, cell-free; HET: RET; NMR {uncultured marine gamma proteobacterium EBAC31A08}
SAMEA2619531_1472360_67	100.0	5.9E-38	1.1E-42	267.7	0.0	205	9-220	1-221 (229)	18	0.226	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2619376_10978_7	100.0	6.7E-44	1.3E-48	308.4	0.0	228	20-248	2-229 (235)	71	1.215	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619766_17637_1	33.9	22	0.00043	31.3	0.0	83	1-90	42-126 (258)	16	0.145	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2622821_2165_2	100.0	2.8E-47	5.4E-52	315.0	0.0	220	1-220	1-220 (220)	97	1.518	0.0	8.300	5JSI_A Nitrate/nitrite sensor protein NarQ (E.C.2.7.13.3); membrane protein, iodide, UNKNOWN FUNCTION; HET: OLC, LYR, LFA, IOD; 2.0A {Candidatus Actinomarina minuta}
SAMEA2623919_1141576_4	100.0	3.7E-41	7.1E-46	294.3	0.0	227	1-235	10-266 (288)	20	0.409	0.0	7.600	4XTL_A KR2; ion pump, membrane protein; HET: LYR, GOL, LFA; 1.45A {Dokdonia eikasta}
SAMEA2622097_927456_5	100.0	6.6E-41	1.3E-45	297.4	0.0	232	15-248	17-271 (288)	22	0.337	0.0	7.600	4XTL_A KR2; ion pump, membrane protein; HET: LYR, GOL, LFA; 1.45A {Dokdonia eikasta}
SAMEA2622796_146045_1	100.0	1.5E-42	2.8E-47	293.9	0.0	225	7-234	5-230 (235)	60	1.133	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619548_2864805_10	100.0	5.9E-43	1.1E-47	305.8	0.0	230	28-257	4-233 (235)	56	1.093	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2620950_1008285_8	100.0	2.6E-44	5E-49	303.6	0.0	227	3-230	2-230 (235)	51	0.999	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2621242_1307226_86	98.4	2.2E-10	4.2E-15	103.3	0.0	174	77-257	45-235 (258)	13	0.181	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2621254_861016_7	98.5	8.4E-11	1.6E-15	107.0	0.0	195	119-319	45-248 (258)	14	0.143	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2622695_1587771_107	100.0	4.9E-42	9.4E-47	291.6	0.0	216	2-226	13-239 (244)	22	0.301	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2622074_2562117_7	100.0	1.7E-41	3.3E-46	292.5	0.0	231	6-240	5-237 (243)	57	1.047	0.0	7.800	2L6X_A Green-light absorbing proteorhodopsin; proteorhodopsin, membrane protein structure, cell-free; HET: RET; NMR {uncultured marine gamma proteobacterium EBAC31A08}
SAMEA2623463_1412153_8	99.9	8E-32	1.5E-36	229.1	0.0	194	4-210	3-209 (220)	20	0.255	0.0	8.300	5JSI_A Nitrate/nitrite sensor protein NarQ (E.C.2.7.13.3); membrane protein, iodide, UNKNOWN FUNCTION; HET: OLC, LYR, LFA, IOD; 2.0A {Candidatus Actinomarina minuta}
SAMEA2620570_1793057_1	100.0	1.3E-42	2.5E-47	303.0	0.0	227	28-254	4-230 (235)	52	1.026	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2622149_590498_2	100.0	7.1E-43	1.4E-47	303.9	0.0	225	25-249	2-226 (235)	47	0.986	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2621076_2477777_10	100.0	1.9E-42	3.6E-47	309.1	0.0	232	35-272	2-236 (243)	53	0.973	0.0	7.800	2L6X_A Green-light absorbing proteorhodopsin; proteorhodopsin, membrane protein structure, cell-free; HET: RET; NMR {uncultured marine gamma proteobacterium EBAC31A08}
SAMEA2619678_834915_84	100.0	1.3E-41	2.6E-46	283.9	0.0	216	3-218	6-229 (235)	62	1.074	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2623649_471313_5	98.5	1.3E-10	2.5E-15	106.3	0.0	176	119-300	45-235 (258)	15	0.237	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2619857_391591_11	98.4	2.9E-10	5.6E-15	103.0	0.0	196	92-289	45-244 (258)	13	0.145	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2620980_497774_1	100.0	2.2E-43	4.2E-48	308.6	0.0	229	27-255	4-232 (235)	55	1.075	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2620861_993414_2	98.4	2.8E-10	5.4E-15	103.3	0.0	193	100-301	45-247 (258)	11	0.137	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2622119_1098617_3	98.2	2.2E-09	4.3E-14	100.5	0.0	190	265-543	43-241 (258)	14	0.144	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2620979_1664180_13	100.0	6.6E-34	1.3E-38	256.9	0.0	224	42-272	1-239 (244)	18	0.223	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2622336_2152978_2	100.0	1E-42	2E-47	292.5	0.0	224	2-225	5-230 (235)	60	1.081	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2621536_654804_18	98.1	3.4E-09	6.5E-14	97.3	0.0	187	187-414	43-236 (258)	12	0.109	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2619399_3150436_25	100.0	2.7E-42	5.2E-47	300.9	0.0	226	27-253	4-230 (235)	54	1.030	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619888_13449_4	98.4	4E-10	7.8E-15	102.0	0.0	183	75-262	45-235 (258)	16	0.274	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2621779_37212_7	99.9	4.1E-32	7.8E-37	236.1	0.0	200	12-228	13-229 (235)	22	0.406	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2622843_481120_6	100.0	7.4E-45	1.4E-49	325.9	0.0	256	2-264	4-273 (273)	55	0.903	0.0	7.700	3DDL_A Xanthorhodopsin; rhodopsin, carotenoid, ion pump, light-harvesting; HET: SXN, UNL, PCW, RET, PX4; 1.9A {Salinibacter ruber}
SAMEA2591098_31178_1	100.0	2.2E-44	4.2E-49	306.1	0.0	232	3-234	1-232 (235)	63	1.131	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2620979_1389619_2	100.0	4.5E-38	8.6E-43	269.6	0.0	215	4-225	8-241 (244)	20	0.250	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2622823_2221224_3	100.0	1.6E-41	3.1E-46	299.5	0.0	231	32-268	3-233 (235)	66	1.173	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2591057_895026_11	100.0	1.1E-43	2E-48	300.6	0.0	233	1-233	1-233 (235)	38	0.837	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619879_861072_4	100.0	1.5E-41	2.9E-46	301.5	0.0	221	43-279	3-229 (229)	23	0.316	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2621487_1102686_4	100.0	3.1E-44	6E-49	306.4	0.0	233	1-233	1-233 (235)	41	0.866	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2591074_1081096_2	100.0	1.3E-42	2.5E-47	305.4	0.0	231	31-261	2-232 (235)	52	1.016	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619879_718344_2	100.0	1.6E-43	3.2E-48	307.7	0.0	228	19-248	3-231 (243)	72	1.302	0.0	7.800	2L6X_A Green-light absorbing proteorhodopsin; proteorhodopsin, membrane protein structure, cell-free; HET: RET; NMR {uncultured marine gamma proteobacterium EBAC31A08}
SAMEA2591074_180874_3	100.0	5.3E-43	1E-47	306.5	0.0	233	27-259	2-234 (235)	56	1.034	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2620980_1729517_59	100.0	1.4E-43	2.8E-48	309.1	0.0	232	21-255	2-233 (235)	56	1.027	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2623116_1526887_3	100.0	4.3E-41	8.3E-46	290.1	0.0	215	2-236	14-241 (244)	17	0.242	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2622219_203782_3	98.1	4.4E-09	8.5E-14	95.8	0.0	195	142-373	43-241 (258)	16	0.156	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2619840_610519_2	100.0	3E-42	5.7E-47	291.8	0.0	227	6-233	5-233 (235)	53	1.045	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2623627_556729_8	100.0	2.7E-42	5.2E-47	306.8	0.0	229	27-268	4-240 (244)	20	0.279	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2621221_2388300_2	99.9	9.8E-33	1.9E-37	236.4	0.0	206	1-226	1-218 (220)	16	0.255	0.0	8.300	5JSI_A Nitrate/nitrite sensor protein NarQ (E.C.2.7.13.3); membrane protein, iodide, UNKNOWN FUNCTION; HET: OLC, LYR, LFA, IOD; 2.0A {Candidatus Actinomarina minuta}
SAMEA2621859_1171286_4	100.0	2E-43	3.8E-48	298.5	0.0	229	2-230	3-233 (235)	59	1.083	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2622074_9592_2	100.0	6E-37	1.2E-41	265.0	0.0	212	13-233	9-241 (244)	21	0.300	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2621839_2396499_26	100.0	2.1E-42	4E-47	306.3	0.0	237	9-245	14-277 (288)	22	0.376	0.0	7.600	4XTL_A KR2; ion pump, membrane protein; HET: LYR, GOL, LFA; 1.45A {Dokdonia eikasta}
SAMEA2591122_496093_3	100.0	2E-36	3.8E-41	268.0	0.0	220	25-252	10-242 (244)	19	0.279	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2621536_1601225_25	100.0	5.8E-42	1.1E-46	310.4	0.0	224	45-283	9-242 (244)	22	0.281	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2621020_137842_7	100.0	1.9E-33	3.6E-38	243.0	0.0	198	5-228	7-226 (229)	20	0.352	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2621259_2616127_1	100.0	1.6E-39	3.1E-44	269.6	0.0	207	1-215	8-225 (227)	26	0.430	0.0	8.200	1S51_A bacteriorhodopsin; membrane protein  bacteriorhodopsin, PROTON; HET: RET; 2.0A {Halobacterium salinarum} SCOP: f.13.1.1
SAMEA2619907_993517_7	100.0	7E-43	1.3E-47	305.1	0.0	230	27-256	4-233 (235)	62	1.144	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
