orf	rhod_classification	tara	contig
SAMEA2591108_1138728_9	helio	MIC	SAMEA2591108_1138728
SAMEA2622097_2119716_13	type_1	MIC	SAMEA2622097_2119716
SAMEA2621132_987846_12	type_1	MIC	SAMEA2621132_987846
SAMEA2621423_642957_1	helio	MIC	SAMEA2621423_642957
SAMEA2623295_2026976_4	type_1	MIC	SAMEA2623295_2026976
SAMEA2623116_65335_10	type_1	MIC	SAMEA2623116_65335
SAMEA2591108_567714_15	type_1	MIC	SAMEA2591108_567714
SAMEA2619818_369_4	Unclassified	MIC	SAMEA2619818_369
SAMEA2619802_16128_2	type_1	MIC	SAMEA2619802_16128
SAMEA2623116_2138046_3	type_1	MIC	SAMEA2623116_2138046
SAMEA2623488_1546523_8	type_1	MIC	SAMEA2623488_1546523
SAMEA2619818_22491_3	type_1	MIC	SAMEA2619818_22491
SAMEA2619907_873661_11	type_1	MIC	SAMEA2619907_873661
SAMEA2619952_1844118_4	type_1	MIC	SAMEA2619952_1844118
SAMEA2622074_987509_11	Unclassified	MIC	SAMEA2622074_987509
SAMEA2621075_1901080_2	helio	MIC	SAMEA2621075_1901080
SAMEA2591074_356659_1	helio	MIC	SAMEA2591074_356659
SAMEA2622715_148966_7	type_1	MIC	SAMEA2622715_148966
SAMEA2591074_356659_4	Unclassified	MIC	SAMEA2591074_356659
SAMEA2623734_3023417_4	type_1	MIC	SAMEA2623734_3023417
SAMEA2622796_146045_1	type_1	MIC	SAMEA2622796_146045
SAMEA2621075_294119_44	type_1	MIC	SAMEA2621075_294119
SAMEA2623446_1545299_1	type_1	MIC	SAMEA2623446_1545299
SAMEA2621155_981157_2	type_1	MIC	SAMEA2621155_981157
SAMEA2621259_2224741_4	type_1	MIC	SAMEA2621259_2224741
SAMEA2621839_1759784_18	type_1	MIC	SAMEA2621839_1759784
SAMEA2622219_2273633_9	helio	MIC	SAMEA2622219_2273633
SAMEA2591108_508741_1	helio	MIC	SAMEA2591108_508741
SAMEA2621020_137842_7	type_1	MIC	SAMEA2621020_137842
SAMEA2621020_2509357_2	type_1	MIC	SAMEA2621020_2509357
SAMEA2619531_2043101_13	type_1	MIC	SAMEA2619531_2043101
SAMEA2619399_2847318_3	type_1	MIC	SAMEA2619399_2847318
SAMEA2620970_243516_86	helio	MIC	SAMEA2620970_243516
SAMEA2623116_798889_15	type_1	MIC	SAMEA2623116_798889
SAMEA2623275_300842_5	type_1	MIC	SAMEA2623275_300842
SAMEA2622097_839474_4	helio	MIC	SAMEA2622097_839474
SAMEA2622316_2540784_15	type_1	MIC	SAMEA2622316_2540784
SAMEA2621812_1032756_6	type_1	MIC	SAMEA2621812_1032756
SAMEA2623135_139002_9	type_1	MIC	SAMEA2623135_139002
SAMEA2622219_3613845_4	helio	MIC	SAMEA2622219_3613845
SAMEA2621203_1844378_4	helio	MIC	SAMEA2621203_1844378
SAMEA2622119_968173_8	type_1	MIC	SAMEA2622119_968173
SAMEA2622837_2214772_3	type_1	MIC	SAMEA2622837_2214772
SAMEA2620081_2493749_7	type_1	MIC	SAMEA2620081_2493749
SAMEA2621401_574189_5	type_1	MIC	SAMEA2621401_574189
SAMEA2619667_2867_2	type_1	MIC	SAMEA2619667_2867
SAMEA2623079_2164382_4	type_1	MIC	SAMEA2623079_2164382
SAMEA2620230_27562_7	type_1	MIC	SAMEA2620230_27562
SAMEA2591122_191356_15	type_1	MIC	SAMEA2591122_191356
SAMEA2619952_1821841_5	helio	MIC	SAMEA2619952_1821841
SAMEA2622733_1564909_1	type_1	MIC	SAMEA2622733_1564909
SAMEA2622518_549548_1	type_1	MIC	SAMEA2622518_549548
SAMEA2620980_1119914_9	helio	MIC	SAMEA2620980_1119914
SAMEA2622695_1510595_12	type_1	MIC	SAMEA2622695_1510595
SAMEA2620980_1416762_3	type_1	MIC	SAMEA2620980_1416762
SAMEA2591108_1366512_8	type_1	MIC	SAMEA2591108_1366512
SAMEA2622652_17422_2	type_1	MIC	SAMEA2622652_17422
SAMEA2621216_2293027_2	helio	MIC	SAMEA2621216_2293027
SAMEA2620081_1111313_8	type_1	MIC	SAMEA2620081_1111313
SAMEA2621203_2294458_3	type_1	MIC	SAMEA2621203_2294458
SAMEA2623446_1457557_6	type_1	MIC	SAMEA2623446_1457557
SAMEA2621401_335277_8	Unclassified	MIC	SAMEA2621401_335277
SAMEA2620929_1889583_4	type_1	MIC	SAMEA2620929_1889583
SAMEA2621259_1071545_6	type_1	MIC	SAMEA2621259_1071545
SAMEA2621536_680521_3	helio	MIC	SAMEA2621536_680521
SAMEA2619531_1399983_20	helio	MIC	SAMEA2619531_1399983
SAMEA2619818_394_12	type_1	MIC	SAMEA2619818_394
SAMEA2619548_1236059_15	type_1	MIC	SAMEA2619548_1236059
SAMEA2620855_1794210_5	helio	MIC	SAMEA2620855_1794210
SAMEA2622478_1847582_6	type_1	MIC	SAMEA2622478_1847582
SAMEA2622402_14469_1	type_1	MIC	SAMEA2622402_14469
SAMEA2621013_582678_1	type_1	MIC	SAMEA2621013_582678
SAMEA2619857_124935_7	helio	MIC	SAMEA2619857_124935
SAMEA2621423_91583_48	helio	MIC	SAMEA2621423_91583
SAMEA2620979_1281730_1	type_1	MIC	SAMEA2620979_1281730
SAMEA2621509_622888_5	helio	MIC	SAMEA2621509_622888
SAMEA2621277_2055901_5	type_1	MIC	SAMEA2621277_2055901
SAMEA2622402_3395205_4	type_1	MIC	SAMEA2622402_3395205
SAMEA2620979_1887267_4	type_1	MIC	SAMEA2620979_1887267
SAMEA2619857_391591_11	helio	MIC	SAMEA2619857_391591
SAMEA2591108_1414467_5	helio	MIC	SAMEA2591108_1414467
SAMEA2619766_10238_7	helio	MIC	SAMEA2619766_10238
SAMEA2620672_2015096_3_split_2	helio	MIC	SAMEA2620672_2015096
SAMEA2620570_2523411_16	helio	MIC	SAMEA2620570_2523411
SAMEA2620259_1871660_2	type_1	MIC	SAMEA2620259_1871660
SAMEA2620756_77093_67	type_1	MIC	SAMEA2620756_77093
SAMEA2623513_2758011_3	type_1	MIC	SAMEA2623513_2758011
SAMEA2621812_1118336_2	type_1	MIC	SAMEA2621812_1118336
SAMEA2622173_82207_25	type_1	MIC	SAMEA2622173_82207
SAMEA2623116_1526887_3	type_1	MIC	SAMEA2623116_1526887
SAMEA2622715_1391869_3	type_1	MIC	SAMEA2622715_1391869
SAMEA2622658_1401682_6	helio	MIC	SAMEA2622658_1401682
SAMEA2619678_621622_11	type_1	MIC	SAMEA2619678_621622
SAMEA2620786_543922_21	type_1	MIC	SAMEA2620786_543922
SAMEA2623919_2812720_6	type_1	MIC	SAMEA2623919_2812720
SAMEA2619840_2486130_7	type_1	MIC	SAMEA2619840_2486130
SAMEA2621277_867150_5	type_1	MIC	SAMEA2621277_867150
SAMEA2620980_740681_71	type_1	MIC	SAMEA2620980_740681
SAMEA2622452_1123682_7	type_1	MIC	SAMEA2622452_1123682
SAMEA2622837_2510011_5	type_1	MIC	SAMEA2622837_2510011
SAMEA2621423_723361_10	helio	MIC	SAMEA2621423_723361
SAMEA2619879_1115031_4	type_1	MIC	SAMEA2619879_1115031
SAMEA2591108_218900_2	helio	MIC	SAMEA2591108_218900
SAMEA2621536_543696_4	type_1	MIC	SAMEA2621536_543696
SAMEA2619678_834915_84	type_1	MIC	SAMEA2619678_834915
SAMEA2621045_1281069_15	type_1	MIC	SAMEA2621045_1281069
SAMEA2623116_3375428_6	type_1	MIC	SAMEA2623116_3375428
SAMEA2623116_3158637_12	type_1	MIC	SAMEA2623116_3158637
SAMEA2621132_1125729_3	type_1	MIC	SAMEA2621132_1125729
SAMEA2622452_2389362_2	helio	MIC	SAMEA2622452_2389362
SAMEA2621259_1635154_26	helio	MIC	SAMEA2621259_1635154
SAMEA2620995_2929323_1	type_1	MIC	SAMEA2620995_2929323
SAMEA2621536_1017808_6	helio	MIC	SAMEA2621536_1017808
SAMEA2621277_3079853_9	type_1	MIC	SAMEA2621277_3079853
SAMEA2621487_1102686_4	type_1	MIC	SAMEA2621487_1102686
SAMEA2620979_1070752_3	helio	MIC	SAMEA2620979_1070752
SAMEA2621779_37212_7	type_1	MIC	SAMEA2621779_37212
SAMEA2622219_358894_40	helio	MIC	SAMEA2622219_358894
SAMEA2621277_634071_8	helio	MIC	SAMEA2621277_634071
SAMEA2619399_2698962_4	type_1	MIC	SAMEA2619399_2698962
SAMEA2621132_3287185_6	type_1	MIC	SAMEA2621132_3287185
SAMEA2620828_1963811_4	type_1	MIC	SAMEA2620828_1963811
SAMEA2619927_1109622_2	type_1	MIC	SAMEA2619927_1109622
SAMEA2622149_590498_2	type_1	MIC	SAMEA2622149_590498
SAMEA2622695_475850_15	type_1	MIC	SAMEA2622695_475850
SAMEA2619782_6070_3	type_1	MIC	SAMEA2619782_6070
SAMEA2621779_920990_5	type_1	MIC	SAMEA2621779_920990
SAMEA2619818_11610_3	type_1	MIC	SAMEA2619818_11610
SAMEA2619376_505_50	type_1	MIC	SAMEA2619376_505
SAMEA2623059_2481824_2	helio	MIC	SAMEA2623059_2481824
SAMEA2622219_3130959_13	helio	MIC	SAMEA2622219_3130959
SAMEA2622652_5216_5	helio	MIC	SAMEA2622652_5216
SAMEA2622817_271216_5	Unclassified	MIC	SAMEA2622817_271216
SAMEA2619857_117796_3	type_1	MIC	SAMEA2619857_117796
SAMEA2622837_2694052_4	type_1	MIC	SAMEA2622837_2694052
SAMEA2623808_1079619_2	type_1	MIC	SAMEA2623808_1079619
SAMEA2620339_928492_2	type_1	MIC	SAMEA2620339_928492
SAMEA2619531_1460957_10	type_1	MIC	SAMEA2619531_1460957
SAMEA2621401_1303456_7	helio	MIC	SAMEA2621401_1303456
SAMEA2623627_2862838_2	type_1	MIC	SAMEA2623627_2862838
SAMEA2621020_1683730_8	type_1	MIC	SAMEA2621020_1683730
SAMEA2620979_200182_2	type_1	MIC	SAMEA2620979_200182
SAMEA2619907_705725_1	type_1	MIC	SAMEA2619907_705725
SAMEA2621232_2183561_10	helio	MIC	SAMEA2621232_2183561
SAMEA2622219_2436768_5	type_1	MIC	SAMEA2622219_2436768
SAMEA2620979_335054_4	helio	MIC	SAMEA2620979_335054
SAMEA2622219_669380_9	type_1	MIC	SAMEA2622219_669380
SAMEA2619952_1677347_9	type_1	MIC	SAMEA2619952_1677347
SAMEA2619548_2196513_28	type_1	MIC	SAMEA2619548_2196513
SAMEA2623116_1723938_4	type_1	MIC	SAMEA2623116_1723938
SAMEA2622402_52107_7	helio	MIC	SAMEA2622402_52107
SAMEA2619766_24663_10	helio	MIC	SAMEA2619766_24663
SAMEA2621044_1345900_3	helio	MIC	SAMEA2621044_1345900
SAMEA2623756_980485_2	helio	MIC	SAMEA2623756_980485
SAMEA2619857_482696_3	type_1	MIC	SAMEA2619857_482696
SAMEA2623275_815365_6	type_1	MIC	SAMEA2623275_815365
SAMEA2619857_405215_2	type_1	MIC	SAMEA2619857_405215
SAMEA2621277_2597444_1	helio	MIC	SAMEA2621277_2597444
SAMEA2622402_667058_3	type_1	MIC	SAMEA2622402_667058
SAMEA2619818_2315_6	type_1	MIC	SAMEA2619818_2315
SAMEA2621423_838368_24	type_1	MIC	SAMEA2621423_838368
SAMEA2619879_1223599_3	helio	MIC	SAMEA2619879_1223599
SAMEA2622801_321873_14	type_1	MIC	SAMEA2622801_321873
SAMEA2591074_637059_2	type_1	MIC	SAMEA2591074_637059
SAMEA2620929_631349_4	type_1	MIC	SAMEA2620929_631349
SAMEA2620021_659465_17	type_1	MIC	SAMEA2620021_659465
SAMEA2591122_1927317_4	type_1	MIC	SAMEA2591122_1927317
SAMEA2621423_1559714_12	type_1	MIC	SAMEA2621423_1559714
SAMEA2619548_214064_2	type_1	MIC	SAMEA2619548_214064
SAMEA2623627_2805135_39	type_1	MIC	SAMEA2623627_2805135
SAMEA2622822_1061884_2	type_1	MIC	SAMEA2622822_1061884
SAMEA2619782_2875_3	type_1	MIC	SAMEA2619782_2875
SAMEA2621020_821955_7	type_1	MIC	SAMEA2621020_821955
SAMEA2621203_2414717_10	type_1	MIC	SAMEA2621203_2414717
SAMEA2622173_1663572_2	type_1	MIC	SAMEA2622173_1663572
SAMEA2622097_1755157_2	Unclassified	MIC	SAMEA2622097_1755157
SAMEA2623756_1300214_4	helio	MIC	SAMEA2623756_1300214
SAMEA2619818_1424_7	type_1	MIC	SAMEA2619818_1424
SAMEA2621509_792543_4	helio	MIC	SAMEA2621509_792543
SAMEA2619399_1463837_4	type_1	MIC	SAMEA2619399_1463837
SAMEA2622316_1028038_3	type_1	MIC	SAMEA2622316_1028038
SAMEA2623627_1069644_18	type_1	MIC	SAMEA2623627_1069644
SAMEA2622316_304965_1	Unclassified	MIC	SAMEA2622316_304965
SAMEA2620081_1896517_11	type_1	MIC	SAMEA2620081_1896517
SAMEA2621990_1360130_5	type_1	MIC	SAMEA2621990_1360130
SAMEA2620651_1489435_2	helio	MIC	SAMEA2620651_1489435
SAMEA2622097_968367_6	type_1	MIC	SAMEA2622097_968367
SAMEA2620404_621193_6	type_1	MIC	SAMEA2620404_621193
SAMEA2620734_306570_36	type_1	MIC	SAMEA2620734_306570
SAMEA2619840_1154112_9	type_1	MIC	SAMEA2619840_1154112
SAMEA2619678_2065813_4	type_1	MIC	SAMEA2619678_2065813
SAMEA2623116_1111929_2	type_1	MIC	SAMEA2623116_1111929
SAMEA2623135_2054178_3	helio	MIC	SAMEA2623135_2054178
SAMEA2622219_1393579_16	type_1	MIC	SAMEA2622219_1393579
SAMEA2591122_2294687_35	type_1	MIC	SAMEA2591122_2294687
SAMEA2619952_2350843_20	type_1	MIC	SAMEA2619952_2350843
SAMEA2621254_2433940_9	type_1	MIC	SAMEA2621254_2433940
SAMEA2620979_1389619_2	type_1	MIC	SAMEA2620979_1389619
SAMEA2621075_1582782_1	helio	MIC	SAMEA2621075_1582782
SAMEA2591108_499059_6	type_1	MIC	SAMEA2591108_499059
SAMEA2621487_818947_36	type_1	MIC	SAMEA2621487_818947
SAMEA2623135_1692850_4	helio	MIC	SAMEA2623135_1692850
SAMEA2623426_1843906_8	type_1	MIC	SAMEA2623426_1843906
SAMEA2623673_3000060_20	helio	MIC	SAMEA2623673_3000060
SAMEA2619879_765630_4	helio	MIC	SAMEA2619879_765630
SAMEA2622710_546365_7	helio	MIC	SAMEA2622710_546365
SAMEA2622119_982967_6	type_1	MIC	SAMEA2622119_982967
SAMEA2623673_991118_3	type_1	MIC	SAMEA2623673_991118
SAMEA2620828_2641504_6	type_1	MIC	SAMEA2620828_2641504
SAMEA2622716_706518_12	helio	MIC	SAMEA2622716_706518
SAMEA2621076_2557469_4	type_1	MIC	SAMEA2621076_2557469
SAMEA2619907_2329181_24	helio	MIC	SAMEA2619907_2329181
SAMEA2623059_696232_2	helio	MIC	SAMEA2623059_696232
SAMEA2622733_3213538_5	type_1	MIC	SAMEA2622733_3213538
SAMEA2622715_805315_15	type_1	MIC	SAMEA2622715_805315
SAMEA2622842_579105_39	type_1	MIC	SAMEA2622842_579105
SAMEA2620979_262029_1	type_1	MIC	SAMEA2620979_262029
SAMEA2621423_1226452_3	type_1	MIC	SAMEA2621423_1226452
SAMEA2623826_3198294_7	type_1	MIC	SAMEA2623826_3198294
SAMEA2621812_1515773_2	helio	MIC	SAMEA2621812_1515773
SAMEA2621551_2277621_7	type_1	MIC	SAMEA2621551_2277621
SAMEA2619952_598377_9	helio	MIC	SAMEA2619952_598377
SAMEA2623116_1769445_3	type_1	MIC	SAMEA2623116_1769445
SAMEA2622219_896449_3	Unclassified	MIC	SAMEA2622219_896449
SAMEA2619678_602943_3	type_1	MIC	SAMEA2619678_602943
SAMEA2623627_565846_3	type_1	MIC	SAMEA2623627_565846
SAMEA2591057_648810_19	type_1	MIC	SAMEA2591057_648810
SAMEA2621487_1559565_7	type_1	MIC	SAMEA2621487_1559565
SAMEA2621203_15401_4	type_1	MIC	SAMEA2621203_15401
SAMEA2621277_1582956_1	type_1	MIC	SAMEA2621277_1582956
SAMEA2623673_2790426_8	helio	MIC	SAMEA2623673_2790426
SAMEA2621839_1249300_1	helio	MIC	SAMEA2621839_1249300
SAMEA2619766_58_1	type_1	MIC	SAMEA2619766_58
SAMEA2619766_5674_1	type_1	MIC	SAMEA2619766_5674
SAMEA2619952_567433_4	helio	MIC	SAMEA2619952_567433
SAMEA2619548_2864805_10	type_1	MIC	SAMEA2619548_2864805
SAMEA2619766_913_22	type_1	MIC	SAMEA2619766_913
SAMEA2622842_1863578_2	type_1	MIC	SAMEA2622842_1863578
SAMEA2621839_2332429_3	type_1	MIC	SAMEA2621839_2332429
SAMEA2619782_72_113	type_1	MIC	SAMEA2619782_72
SAMEA2620217_233994_8	type_1	MIC	SAMEA2620217_233994
SAMEA2620194_943871_9	type_1	MIC	SAMEA2620194_943871
SAMEA2623275_963018_4	type_1	MIC	SAMEA2623275_963018
SAMEA2622173_1995519_29	helio	MIC	SAMEA2622173_1995519
SAMEA2621254_861016_7	helio	MIC	SAMEA2621254_861016
SAMEA2622843_357902_174	type_1	MIC	SAMEA2622843_357902
SAMEA2623673_2311083_21	Unclassified	MIC	SAMEA2623673_2311083
SAMEA2621859_1126630_4	helio	MIC	SAMEA2621859_1126630
SAMEA2619782_1077_32	type_1	MIC	SAMEA2619782_1077
SAMEA2623116_2402565_6	type_1	MIC	SAMEA2623116_2402565
SAMEA2620828_2648935_4	type_1	MIC	SAMEA2620828_2648935
SAMEA2620995_3043124_4	helio	MIC	SAMEA2620995_3043124
SAMEA2591108_1658860_3	type_1	MIC	SAMEA2591108_1658860
SAMEA2622402_2800145_2	type_1	MIC	SAMEA2622402_2800145
SAMEA2619802_5130_1	type_1	MIC	SAMEA2619802_5130
SAMEA2623116_2087230_9	type_1	MIC	SAMEA2623116_2087230
SAMEA2621045_1519010_12	type_1	MIC	SAMEA2621045_1519010
SAMEA2620980_497774_1	type_1	MIC	SAMEA2620980_497774
SAMEA2622765_625272_39	type_1	MIC	SAMEA2622765_625272
SAMEA2622452_174320_16	helio	MIC	SAMEA2622452_174320
SAMEA2619548_271141_2	helio	MIC	SAMEA2619548_271141
SAMEA2622766_433504_10	type_1	MIC	SAMEA2622766_433504
SAMEA2619766_64065_4	type_1	MIC	SAMEA2619766_64065
SAMEA2623919_1299782_10	helio	MIC	SAMEA2623919_1299782
SAMEA2621779_133093_3	type_1	MIC	SAMEA2621779_133093
SAMEA2622316_670598_4	type_1	MIC	SAMEA2622316_670598
SAMEA2619399_2527032_3	type_1	MIC	SAMEA2619399_2527032
SAMEA2620979_1090828_10	helio	MIC	SAMEA2620979_1090828
SAMEA2619927_1545891_4	type_1	MIC	SAMEA2619927_1545891
SAMEA2621155_1106243_7	type_1	MIC	SAMEA2621155_1106243
SAMEA2591108_1212584_13	type_1	MIC	SAMEA2591108_1212584
SAMEA2621812_882374_25	type_1	MIC	SAMEA2621812_882374
SAMEA2620979_1178344_60	Unclassified	MIC	SAMEA2620979_1178344
SAMEA2621779_642979_1	type_1	MIC	SAMEA2621779_642979
SAMEA2620979_282473_12	type_1	MIC	SAMEA2620979_282473
SAMEA2623426_2843172_2	type_1	MIC	SAMEA2623426_2843172
SAMEA2623808_2017600_1	type_1	MIC	SAMEA2623808_2017600
SAMEA2622518_727488_6	type_1	MIC	SAMEA2622518_727488
SAMEA2621020_2249765_12	type_1	MIC	SAMEA2621020_2249765
SAMEA2622316_2557915_25	helio	MIC	SAMEA2622316_2557915
SAMEA2619857_1137559_10	type_1	MIC	SAMEA2619857_1137559
SAMEA2622796_918022_4	type_1	MIC	SAMEA2622796_918022
SAMEA2619818_2607_1	helio	MIC	SAMEA2619818_2607
SAMEA2621221_793712_8	helio	MIC	SAMEA2621221_793712
SAMEA2621423_1219162_2	type_1	MIC	SAMEA2621423_1219162
SAMEA2620979_1582675_3	type_1	MIC	SAMEA2620979_1582675
SAMEA2619399_340071_35	helio	MIC	SAMEA2619399_340071
SAMEA2620980_40489_5	helio	MIC	SAMEA2620980_40489
SAMEA2619840_610519_2	type_1	MIC	SAMEA2619840_610519
SAMEA2623135_2604250_10	type_1	MIC	SAMEA2623135_2604250
SAMEA2622097_198419_8	helio	MIC	SAMEA2622097_198419
SAMEA2619399_2654716_6	helio	MIC	SAMEA2619399_2654716
SAMEA2621423_96682_2	type_1	MIC	SAMEA2621423_96682
SAMEA2622219_4481206_7	helio	MIC	SAMEA2622219_4481206
SAMEA2621020_794929_3	type_1	MIC	SAMEA2621020_794929
SAMEA2620979_489052_4	type_1	MIC	SAMEA2620979_489052
SAMEA2591108_436797_5	type_1	MIC	SAMEA2591108_436797
SAMEA2621221_1852282_5	helio	MIC	SAMEA2621221_1852282
SAMEA2621132_3215762_6	type_1	MIC	SAMEA2621132_3215762
SAMEA2620979_1672927_5	type_1	MIC	SAMEA2620979_1672927
SAMEA2621487_920817_5	helio	MIC	SAMEA2621487_920817
SAMEA2623850_3073888_1	type_1	MIC	SAMEA2623850_3073888
